timestamp,busy,Total Duration (hrs),Total Energy (kWh),Average Power (kW)
9/1/2022 12:00,23,1.41667,340,5520
9/1/2022 12:05,23,1.91667,460,5520
9/1/2022 0:10,23,1.91667,460,5520
9/1/2022 0:15,35,2.83333,680,8400
9/1/2022 0:20,39,3.08333,740,9360
9/1/2022 0:25,39,3.08333,740,9360
9/1/2022 0:30,39,3.25,780,9360
9/1/2022 0:35,38,3.08333,740,9120
9/1/2022 0:40,39,3.16667,760,9360
9/1/2022 0:45,37,3.08333,740,8880
9/1/2022 0:50,40,3.16667,760,9600
9/1/2022 0:55,40,3.16667,760,9600
9/1/2022 1:00,37,2.91667,700,8880
9/1/2022 1:05,39,3.25,780,9360
9/1/2022 1:10,37,2.91667,700,8880
9/1/2022 1:15,34,2.66667,640,8160
9/1/2022 1:20,36,3,720,8640
9/1/2022 1:25,35,2.75,660,8400
9/1/2022 1:30,35,2.91667,700,8400
9/1/2022 1:35,34,2.83333,680,8160
9/1/2022 1:40,37,3.08333,740,8880
9/1/2022 1:45,26,2,480,6240
9/1/2022 1:50,29,2.25,540,6960
9/1/2022 1:55,31,2.5,600,7440
9/1/2022 2:00,32,2.66667,640,7680
9/1/2022 2:05,24,1.83333,440,5760
9/1/2022 2:10,24,1.83333,440,5760
9/1/2022 2:15,30,2.5,600,7200
9/1/2022 2:20,26,2.16667,520,6240
9/1/2022 2:25,30,2.5,600,7200
9/1/2022 2:30,22,1.75,420,5280
9/1/2022 2:35,26,2,480,6240
9/1/2022 2:40,22,1.75,420,5280
9/1/2022 2:45,22,1.75,420,5280
9/1/2022 2:50,22,1.75,420,5280
9/1/2022 2:55,22,1.66667,400,5280
9/1/2022 3:00,22,1.83333,440,5280
9/1/2022 3:05,23,1.91667,460,5520
9/1/2022 3:10,22,1.83333,440,5280
9/1/2022 3:15,21,1.66667,400,5040
9/1/2022 3:20,20,1.5,360,4800
9/1/2022 3:25,22,1.83333,440,5280
9/1/2022 3:30,24,1.91667,460,5760
9/1/2022 3:35,22,1.83333,440,5280
9/1/2022 3:40,27,2.25,540,6480
9/1/2022 3:45,22,1.83333,440,5280
9/1/2022 3:50,26,2.08333,500,6240
9/1/2022 3:55,20,1.66667,400,4800
9/1/2022 4:00,29,2.25,540,6960
9/1/2022 4:05,21,1.75,420,5040
9/1/2022 4:10,23,1.83333,440,5520
9/1/2022 4:15,24,1.91667,460,5760
9/1/2022 4:20,30,2.33333,560,7200
9/1/2022 4:25,25,2.08333,500,6000
9/1/2022 4:30,30,2.33333,560,7200
9/1/2022 4:35,20,1.66667,400,4800
9/1/2022 4:40,24,2,480,5760
9/1/2022 4:45,26,2,480,6240
9/1/2022 4:50,19,1.58333,380,4560
9/1/2022 4:55,20,1.58333,380,4800
9/1/2022 5:00,29,2.25,540,6960
9/1/2022 5:05,33,2.58333,620,7920
9/1/2022 5:10,19,1.58333,380,4560
